results random forest,,,,,,,,,results KNN,,,,,,,,,,results CNN,,,,,,,,,,,,,results XGBOOST,run_name,accuracy,precision,recall,f1,,,,
run,accuracy,precision,recall,f1,,,,,run,raw_accuracy,raw_precision,raw_recall,raw_f1,feat_accuracy,feat_precision,feat_recall,feat_f1,,,model,accuracy,recall,precision,F1 score,,,,,,,,,xgb_lr0.01_n50_d3_sub0.8_col0.6_mcw1,0.658,0.69722977,0.658,0.65067144,,,,V
RF_e100_dNone_l10_flog2,0.75,0.782392857,0.75,0.736823732,,,,,knn_7_uniform_manhattan,0.130048166,0.194982025,0.130144273,0.118780624,0.842,0.873152597,0.842,0.837129176,,,,,,,,,,,,,,,,xgb_lr0.01_n100_d3_sub0.8_col0.6_mcw5,0.686,0.727632395,0.686,0.67710151,,,,
RF_e200_dNone_l10_flog2,0.778,0.819517677,0.778,0.766877539,,,,,knn_7_distance_manhattan,0.140051871,0.197528873,0.139765746,0.127263436,0.86,0.891144661,0.86,0.857700605,,,,,,,,,,,,,,,,xgb_lr0.01_n100_d3_sub0.8_col0.8_mcw1,0.682,0.721983045,0.682,0.672920302,,,,
RF_e50_d10_l1_fsqrt,0.58,0.574314935,0.58,0.527603087,,,,,knn_9_uniform_manhattan,0.128195628,0.193080745,0.127339656,0.117203868,0.842,0.872551587,0.842,0.837273116,,,,,,,,,,,,,,,,xgb_lr0.01_n100_d3_sub0.8_col0.8_mcw5,0.672,0.705444444,0.672,0.661924464,,,,
RF_e100_d10_l1_fsqrt,0.652,0.670274975,0.652,0.608991202,,,,,knn_9_distance_manhattan,0.139681363,0.208609058,0.138592234,0.128637047,0.85,0.878051587,0.85,0.846055944,,,,,,,,,,,,,,,,xgb_lr0.01_n100_d3_sub1.0_col0.6_mcw1,0.7,0.745030664,0.7,0.693580309,,,,
RF_e200_d10_l1_fsqrt,0.674,0.698830281,0.674,0.63417328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,xgb_lr0.01_n100_d3_sub1.0_col0.6_mcw5,0.684,0.717462121,0.684,0.674828755,,,,
RF_e50_d10_l5_fsqrt,0.622,0.662188145,0.622,0.585350392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,xgb_lr0.01_n100_d3_sub1.0_col0.8_mcw1,0.666,0.700666667,0.666,0.65427004,,,,
RF_e100_d10_l5_fsqrt,0.644,0.676921911,0.644,0.61233275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,xgb_lr0.01_n100_d3_sub1.0_col0.8_mcw5,0.646,0.674781746,0.646,0.634284581,,,,
RF_e200_d10_l5_fsqrt,0.668,0.73372694,0.668,0.639496513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,xgb_lr0.01_n100_d6_sub0.8_col0.6_mcw1,0.758,0.805124459,0.758,0.753606394,,,,
RF_e50_d10_l10_fsqrt,0.6,0.626467713,0.6,0.565801529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,xgb_lr0.01_n100_d6_sub0.8_col0.6_mcw5,0.716,0.755269841,0.716,0.708353369,,,,
RF_e100_d10_l10_fsqrt,0.638,0.681989011,0.638,0.602456591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,xgb_lr0.01_n100_d6_sub0.8_col0.8_mcw1,0.756,0.792330808,0.756,0.749527306,,,,
RF_e200_d10_l10_fsqrt,0.666,0.707706543,0.666,0.632021794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,xgb_lr0.01_n100_d6_sub0.8_col0.8_mcw5,0.694,0.736293651,0.694,0.686004163,,,,
RF_e50_d10_l1_flog2,0.606,0.61955285,0.606,0.572344641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,xgb_lr0.01_n100_d6_sub1.0_col0.6_mcw1,0.748,0.78122619,0.748,0.740010545,,,,
RF_e100_d10_l1_flog2,0.672,0.7157051,0.672,0.647268276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,xgb_lr0.01_n100_d6_sub1.0_col0.6_mcw5,0.722,0.759996032,0.722,0.712104895,,,,
RF_e200_d10_l1_flog2,0.718,0.767927323,0.718,0.697877683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,xgb_lr0.01_n100_d6_sub1.0_col0.8_mcw1,0.716,0.770969697,0.716,0.713405163,,,,
RF_e50_d10_l5_flog2,0.624,0.629712121,0.624,0.587790782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,xgb_lr0.01_n100_d6_sub1.0_col0.8_mcw5,0.686,0.723218254,0.686,0.67843118,,,,
